,KITCHEN ,,,,,,
,DATE,"June 1, 2026",,,,,
,PREPARED BY,,,,,,
,KITCHEN  REPRESENTATIVE,,,,,,
,FROZEN /RAW ,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
3,SLIDER BUNS,  3.0 ,ORDERS,,,,
4,SPAG PASTA,,KG,,,,
5,TACOS SHELL,  4.0 ,BOX,,,,FOR EVENT
,,,,,,,
,BEVERAGES,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
1,FRESH MILK ,,L,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,HOUSE HOLD / CLEANING SUPPLIES,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
1,ALUMINUM FOIL,  2.0 ,ROLL,,,,
2,BUTANE,  1.0 ,PCS,,,,
3,CLING WRAP,  2.0 ,ROLL,,,,
4,HINGED CUP/TAKE OUT CUP SAUCE,"  1,200 ",PCS,,,,
5,PLASTIC LABO,  10.0 ,PACK,,,,
6,TABLE NAPKIN,  5.0 ,PACK,,,,
7,TOWELL ,  5.0 ,PACK,,,,
8,TWINE,  4.0 ,ROLL,,,,
9,VNYL GLOVES,  2.0 ,BOX,,,,
,,,,,,,
,,,,,,,
,PRODUCTION ,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
1,ALASKA CONDENSADA,2,CAN,,,,
2,ALASKA EVAP,2,CAN,,,,
3,ANATO OIL,,ML,,,,
4,BASIL PUREE,  2.11 ,KG,,,,
5,BIRRIA CHEESE TACO,,PORTION,,,,
6,BIRRIA MEAT (BEEF BRISKET) 100,  10 ,ORDER,,,,
7,BIRRIA SAUCE,  500 ,G,,,,
8,BLUE CHEESE SAUCE,  800 ,ORDER,,,,
9,BUFFALO SAUCE,,ORDER,,,,
10,BUFFALO TENDERS,,ORDER,,,,
11,BURGER PATTY,,ORDER,,,,
12,BURGER SAUCE,  890 ,ORDER,,,,
13,CARAMELIZED ONION,  140 ,ORDER,,,,
14,CHEDDAR CHEESE SAUCE,,ORDER,,,,
15,CHEESE SAUCE,,PORTION,,,,
16,CHICKEN LEG QTR,15,KG,,,,FOR EVENT
17,CHICKEN TENDERS 200g,  10 ,PORTION,,,,
18,CHILI CON CARNE ,,ORDER,,,,
19,CHILI HABANERO,246,G,,,,
20,CLARA OLE BLUEBERRY,2,BTL,,,,
21,CLARA OLE MANGO,2,BTL,,,,
22,CLARA OLE STRAWBERRY,2,BTL,,,,
23,COOKED BEEF BRISKET,  4.2 ,G,,,,
24,COOKED PORK BELLY,,G,,,,
25,CRASHED GRAHAM,670,G,,,,
26,CREAMDORY (FOR EVENT) 400G,,G,,,,
27,ENOKI MUSHROOM,68,ORDER,,,,
28,FLOUR FOR NOT CALAMARI,,ORDER,,,,
29,FOOD  TASTE LECHON PORK BELLY,,ORDER,,,,
30,FOUR CHEESE PIZZA,,ORDER,,,,
31,GARLIC RICE,,ORDER,,,,
32,GARLIC VINEGAR,,ML,,,,
33,HABANERO SAUCE,  480 ,ORDER,,,,
34,HABANERO TENDERS,,ORDER,,,,
35,HONEY,450,G,,,,
36,HUMBA MARINATED (FOOD TASTING) ,  180 ,G,,,,
37,HUMBA SAUCE,180,G,,,,
38,KEWPIE MAYONAISE,4,KG,,,,
39,LECHON BELLY,  2 ,PORTION,,,,
40,LECHON SAUCE,,KG,,,,
41,LIGHT SOY SAUCE ,450,ML,,,,EXPIRED MARCH 2025
42,LUMPIA WRAPPER,240,,,,,
43,MANGO JAM (CLARA OLE),1,BTL,,,,
44,MEATBALLS,6.93,KG,,,,FOR EVENT
45,MEXICAN CHEESE BLEND (907g),6,PACK,,,1 MISSING,
46,MORNAY SAUCE,  360 ,ORDER,,,,
47,NESTLE CREAM,4,PACK,,,,
48,NEW BURGER PATTY,13,ORDER,,,,
49,NOT CALAMARI,,PORTION,,,,
50,ORIGINAL TENDERS,,ORDER,,,,
51,PAPRIKA,1.27,KG,,,,
52,PEPERONI PIZZA,  43 ,ORDER,,,,
53,PICKLED ONION AND CUCUMBER,,ORDER,,,,
54,PIZZA DOUGH,  11 ,PORTION,,,,
55,PORK BELLY COOKED (FOOD TASTING) 300G,,G,,,,
56,PORK MASCARA SISIG PREP,6.85,KG,,,,
57,PORK SINUGLAW,,ORDER,,,,
